type,location,name,value,suspicious
Registry,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,OneDrive,"""C:\Users\btn\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background",False
Registry,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,MicrosoftEdgeAutoLaunch_8DE26AA44B1EB4F6C2B8E1E8DD6DBF1A,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start",False
Registry,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,Atomic Red Team,C:\Path\AtomicRedTeam.exe,True
Registry,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,SecurityHealth,%windir%\system32\SecurityHealthSystray.exe,False
Registry,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Delete Cached Update Binary,"C:\WINDOWS\system32\cmd.exe /q /c del /q ""C:\Users\btn\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe""",False
Registry,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Delete Cached Standalone Update Binary,"C:\WINDOWS\system32\cmd.exe /q /c del /q ""C:\Users\btn\AppData\Local\Microsoft\OneDrive\StandaloneUpdater\OneDriveSetup.exe""",False
Registry,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce,Uninstall 25.087.0506.0001,"C:\WINDOWS\system32\cmd.exe /q /c rmdir /s /q ""C:\Users\btn\AppData\Local\Microsoft\OneDrive\25.087.0506.0001""",False
Startup Folder,C:\Users\btn\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup,desktop.ini,C:\Users\btn\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini,False
Startup Folder,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup,desktop.ini,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini,False
Startup Folder,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup,desktop.ini,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini,False
Scheduled Task,Task Scheduler,"""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Active Directory Rights Management Service","""WIN-CPMCMSJ2CFC"",""\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)"",""N/A"",""Disabled"",""Interactive/Background"",""30/11/1999 00:00:00"",""267011"",""Microsoft Corporation"",""COM handler"",""N/A"",""Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently."",""Disabled"",""Disabled"","""",""Everyone"",""Disabled"",""01:00:00"",""Scheduling data is not available in this format."",""Daily "",""03:00:00"",""09/11/2006"",""N/A"",""Every 1 day(s)"",""N/A"",""Disabled"",""Disabled"",""Disabled"",""Disabled""",True
